client,status_count,descriptions_all_count,descriptions_all_percent,descriptions_some_count,descriptions_some_percent,descriptions_none_count,descriptions_none_percent
koyu.space,1,1,100,0,0,0,0
TZN FS Poster,1,0,0,0,0,1,100
Tusker,1,1,100,0,0,0,0
Mast,1,0,0,0,0,1,100
co2ticker,1,1,100,0,0,0,0
Rodent,1,0,0,0,0,1,100
Sanweb,1,0,0,0,0,1,100
pycasso,1,1,100,0,0,0,0
fsposter a4n,1,0,0,0,0,1,100
TweeseCake,1,1,100,0,0,0,0
AutstralianArtGallery_clientcred.secret,1,1,100,0,0,0,0
tgbot-mastodon-sync,1,0,0,0,0,1,100
UnitedSpaceCats,1,1,100,0,0,0,0
Epic News Canada,1,0,0,0,0,1,100
PixelDroid,1,0,0,0,0,1,100
AEGIS FS Poster App,1,0,0,0,0,1,100
Mastoot,1,0,0,0,0,1,100
Grafa Page Manager,1,1,100,0,0,0,0
Github Action,1,1,100,0,0,0,0
Daily Loss Bot,1,0,0,0,0,1,100
Bridgy,1,0,0,0,0,1,100
yongchieng,1,0,0,0,0,1,100
madonctl,1,0,0,0,0,1,100
Wabi Wabi pictures,1,0,0,0,0,1,100
Medieval Images,1,1,100,0,0,0,0
Unsplash Daily Image,1,0,0,0,0,1,100
VMC_automated,1,0,0,0,0,1,100
MyGuidedTours,1,1,100,0,0,0,0
gitlab.com,1,0,0,0,0,1,100
Gerakies,1,0,0,0,0,1,100
Birdhouse Update,1,0,0,0,0,1,100
jazz010live,1,1,100,0,0,0,0
Elk (canary),1,1,100,0,0,0,0
SocialHub for iOS,1,0,0,0,0,1,100
socialbot,1,1,100,0,0,0,0
PhonocasterMusicShare,1,0,0,0,0,1,100
openvibe,1,0,0,0,0,1,100
iflaapp,1,0,0,0,0,1,100
Today's Dérive app task,1,1,100,0,0,0,0
